Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,0.799103,1.14655,0.728912,0.568085
1,1,0.799408,1.14609,0.729065,0.568085
1,2,0.799103,1.14548,0.728607,0.56778
1,3,0.79895,1.14349,0.727692,0.567932
1,4,0.79895,1.14365,0.727844,0.567169
1,5,0.79895,1.14334,0.727539,0.566864
1,6,0.798798,1.14288,0.727539,0.566864
1,7,0.798798,1.14334,0.727844,0.566559
1,8,0.799713,1.14319,0.728607,0.567932
1,9,0.799255,1.14395,0.728302,0.567627
2,0,0.799255,1.14365,0.728302,0.56778
2,1,0.799408,1.14334,0.727997,0.567932
2,2,0.799561,1.14334,0.728607,0.567017
2,3,0.798798,1.14319,0.727386,0.566711
2,4,0.798645,1.14288,0.727997,0.567017
2,5,0.79895,1.14288,0.727234,0.567017
2,6,0.79895,1.14288,0.727234,0.567169
2,7,0.79895,1.14319,0.727692,0.567169
2,8,0.79895,1.14349,0.727539,0.567169
2,9,0.799103,1.1438,0.727997,0.567474
3,0,0.799408,1.1438,0.728149,0.567627
3,1,0.799561,1.14334,0.727692,0.567474
3,2,0.79895,1.14349,0.727844,0.567627
3,3,0.798798,1.14273,0.727234,0.566711
3,4,0.798492,1.14304,0.727234,0.567017
3,5,0.798645,1.14304,0.727539,0.566864
3,6,0.798645,1.14258,0.727234,0.566711
3,7,0.798492,1.14288,0.727234,0.566559
3,8,0.799103,1.14334,0.727539,0.567017
3,9,0.799255,1.14365,0.727539,0.568237
4,0,0.799561,1.14426,0.728455,0.569305
4,1,0.799561,1.14471,0.728912,0.569153
4,2,0.799255,1.14471,0.72876,0.568695
4,3,0.798645,1.1438,0.727997,0.56839
4,4,0.79834,1.14227,0.726471,0.566864
4,5,0.798798,1.14197,0.726166,0.566711
4,6,0.798492,1.14258,0.726776,0.567017
4,7,0.798492,1.14227,0.726013,0.566559
4,8,0.799255,1.14258,0.726166,0.567474
4,9,0.798798,1.14288,0.726624,0.56778
5,0,0.79834,1.14258,0.726624,0.567474
5,1,0.799408,1.14243,0.726471,0.567932
5,2,0.79834,1.14212,0.726166,0.567932
5,3,0.798035,1.14212,0.725861,0.567322
5,4,0.798187,1.14197,0.725708,0.566864
5,5,0.797424,1.14197,0.725861,0.567017
5,6,0.798035,1.14182,0.726013,0.567017
5,7,0.797882,1.14151,0.725861,0.567169
5,8,0.798645,1.14212,0.726166,0.567017
5,9,0.801697,1.14655,0.729828,0.571442
6,0,0.79895,1.14258,0.726318,0.56778
6,1,0.798798,1.14243,0.725708,0.56839
6,2,0.798492,1.14243,0.725555,0.567932
6,3,0.798035,1.14166,0.725555,0.567169
6,4,0.797729,1.14136,0.725098,0.567322
6,5,0.797882,1.14182,0.724945,0.567017
6,6,0.798035,1.14166,0.724945,0.567169
6,7,0.801544,1.14548,0.729218,0.571136
6,8,0.799713,1.14197,0.724945,0.568542
6,9,0.799713,1.14182,0.725403,0.56839
7,0,0.803986,1.14517,0.729065,0.572205
7,1,0.799103,1.14182,0.725098,0.569
7,2,0.798645,1.14212,0.724182,0.569
7,3,0.799255,1.14136,0.72403,0.56778
7,4,0.799103,1.14105,0.723877,0.567627
7,5,0.799103,1.1412,0.723572,0.567474
7,6,0.799408,1.14105,0.723877,0.567627
7,7,0.797882,1.1412,0.723419,0.567627
7,8,0.79895,1.14182,0.724182,0.567932
7,9,0.79895,1.14212,0.72403,0.568085
8,0,0.799103,1.14182,0.723877,0.568085
8,1,0.798798,1.14197,0.72464,0.568085
8,2,0.794067,1.14456,0.726776,0.571594
8,3,0.797424,1.14105,0.723724,0.56778
8,4,0.797729,1.14105,0.722961,0.567932
8,5,0.797119,1.1409,0.723419,0.567627
8,6,0.797729,1.1409,0.723419,0.567322
8,7,0.797577,1.14075,0.723419,0.567627
8,8,0.79834,1.14197,0.72403,0.568085
8,9,0.79834,1.14212,0.723419,0.568848
9,0,0.798187,1.14182,0.723724,0.568695
9,1,0.79834,1.14212,0.723724,0.568237
9,2,0.798645,1.14166,0.723572,0.568542
9,3,0.797272,1.1412,0.722809,0.567627
9,4,0.797577,1.1409,0.722809,0.567474
9,5,0.802917,1.1438,0.726318,0.572052
9,6,0.797424,1.1409,0.722351,0.567627
9,7,0.798492,1.14075,0.722198,0.567474
9,8,0.798035,1.14151,0.723419,0.568085
9,9,0.798798,1.14151,0.723114,0.568542
10,0,0.798187,1.14182,0.723419,0.568237
10,1,0.798645,1.14304,0.723419,0.569763
10,2,0.79834,1.14349,0.724335,0.569458
10,3,0.797882,1.14166,0.722961,0.568848
10,4,0.798645,1.1409,0.722046,0.568085
10,5,0.798798,1.14075,0.722046,0.568085
10,6,0.799103,1.14059,0.722351,0.56839
10,7,0.798492,1.15036,0.727997,0.563354
10,8,0.797882,1.14136,0.722504,0.569
10,9,0.799561,1.14319,0.723724,0.570374
11,0,0.799866,1.14243,0.723572,0.570679
11,1,0.799713,1.14319,0.723267,0.570221
11,2,0.799408,1.14273,0.723267,0.569916
11,3,0.79895,1.14075,0.721893,0.568848
11,4,0.79895,1.14059,0.721588,0.568848
11,5,0.799255,1.1409,0.721588,0.56839
