Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,0.88501,0.834045,0.862579,0.497437
1,1,0.885162,0.834656,0.862579,0.496216
1,2,0.88501,0.834045,0.862427,0.496979
1,3,0.884705,0.834656,0.863647,0.496063
1,4,0.884247,0.834961,0.863495,0.496368
1,5,0.883636,0.832825,0.862579,0.495911
1,6,0.884094,0.832977,0.862122,0.496063
1,7,0.883942,0.83313,0.861969,0.495758
1,8,0.884399,0.83374,0.862122,0.496674
1,9,0.884705,0.833588,0.862427,0.496826
2,0,0.88501,0.833893,0.863037,0.496979
2,1,0.884247,0.833282,0.862732,0.497131
2,2,0.884247,0.83374,0.86319,0.496521
2,3,0.884399,0.832977,0.862122,0.496368
2,4,0.883331,0.832825,0.861816,0.496521
2,5,0.883331,0.832977,0.862274,0.495758
2,6,0.883636,0.832825,0.861664,0.496063
2,7,0.883942,0.832825,0.862427,0.496368
2,8,0.883789,0.832977,0.862122,0.497131
2,9,0.884094,0.833588,0.862579,0.497131
3,0,0.884705,0.83313,0.862885,0.496979
3,1,0.883942,0.832977,0.862579,0.497131
3,2,0.883942,0.833282,0.862732,0.497284
3,3,0.885468,0.836792,0.866852,0.501099
3,4,0.883484,0.832825,0.861511,0.496368
3,5,0.883789,0.832825,0.861664,0.496368
3,6,0.885468,0.836334,0.866241,0.500336
3,7,0.883942,0.832672,0.862122,0.496368
3,8,0.884552,0.832825,0.861969,0.496674
3,9,0.888367,0.838318,0.865631,0.502472
4,0,0.883942,0.83313,0.862732,0.497131
4,1,0.883942,0.833282,0.862427,0.497131
4,2,0.884247,0.833282,0.862427,0.496674
4,3,0.883484,0.832672,0.861816,0.496216
4,4,0.883331,0.832672,0.862274,0.496521
4,5,0.886993,0.836639,0.864868,0.500031
4,6,0.883789,0.832062,0.861816,0.496368
4,7,0.88623,0.836945,0.866852,0.500336
4,8,0.883942,0.833282,0.862122,0.496826
4,9,0.884094,0.833588,0.862427,0.497284
5,0,0.884094,0.83374,0.862274,0.497742
5,1,0.883789,0.832977,0.862274,0.497131
5,2,0.884247,0.832825,0.862427,0.496979
5,3,0.883484,0.832062,0.861359,0.496368
5,4,0.883026,0.832367,0.861664,0.496521
5,5,0.887756,0.836334,0.865784,0.498657
5,6,0.883942,0.83252,0.862122,0.496368
