Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,0.98114,1.08627,0.96405,0.606384
1,1,0.980835,1.08627,0.964203,0.606079
1,2,0.980835,1.08551,0.964203,0.606384
1,3,0.980377,1.08475,0.963745,0.605774
1,4,0.979919,1.08444,0.963745,0.605774
1,5,0.981598,1.08673,0.966034,0.606384
1,6,0.980988,1.08658,0.965881,0.606995
1,7,0.98114,1.08643,0.966034,0.606842
1,8,0.98175,1.08749,0.966339,0.607452
1,9,0.98114,1.08551,0.964508,0.606995
2,0,0.980682,1.08566,0.965118,0.606384
2,1,0.980377,1.08551,0.965118,0.606079
2,2,0.980377,1.08566,0.994415,0.600586
2,3,0.979309,1.08292,0.96405,0.605774
2,4,0.979462,1.08292,0.964508,0.605621
2,5,0.979462,1.0817,0.964355,0.605927
2,6,0.979004,1.08139,0.964203,0.606079
2,7,0.979614,1.0817,0.964355,0.605621
2,8,0.979767,1.08185,0.964813,0.606232
2,9,0.979614,1.08231,0.964661,0.605927
3,0,0.980072,1.08185,0.965271,0.606079
3,1,0.979919,1.0817,0.965118,0.606384
3,2,0.979767,1.08215,0.964966,0.606384
3,3,0.979156,1.08032,0.964355,0.605927
3,4,0.978851,1.08109,0.964508,0.605316
3,5,0.978699,1.08063,0.964661,0.605011
3,6,0.978851,1.08017,0.964355,0.605469
3,7,0.978851,1.08063,0.964661,0.605011
3,8,0.979614,1.08078,0.964661,0.605164
3,9,0.979919,1.08063,0.965118,0.606537
4,0,0.979919,1.08078,0.965576,0.605164
4,1,0.979614,1.08002,0.965576,0.605774
4,2,0.979156,1.07986,0.966187,0.605774
4,3,0.979004,1.07971,0.965118,0.605011
4,4,0.979004,1.07925,0.964813,0.605164
4,5,0.977936,1.07864,0.965271,0.604858
4,6,0.978241,1.07819,0.965118,0.605164
4,7,0.977783,1.07849,0.964966,0.605011
4,8,0.978241,1.07941,0.965729,0.605469
4,9,0.979004,1.07941,0.966339,0.605774
5,0,0.979004,1.07895,0.966034,0.605469
5,1,0.978699,1.07834,0.966644,0.605316
5,2,0.978241,1.07773,0.966339,0.605621
5,3,0.977783,1.07758,0.965576,0.605164
5,4,0.977783,1.07635,0.96756,0.604401
5,5,0.97702,1.07635,0.967102,0.604553
5,6,0.977783,1.07635,0.967255,0.604858
5,7,0.977631,1.07681,0.967255,0.604553
5,8,0.977783,1.07651,0.969086,0.605316
5,9,0.978394,1.07666,0.969238,0.605316
6,0,0.978088,1.07727,0.968781,0.605469
6,1,0.978088,1.07681,0.969543,0.605774
6,2,0.977631,1.07666,0.970306,0.605011
6,3,0.977783,1.07574,0.969543,0.604858
6,4,0.977325,1.07574,0.969543,0.604858
6,5,0.977631,1.07559,0.969849,0.604858
6,6,0.976562,1.07498,0.971222,0.604553
6,7,0.976562,1.07483,0.971222,0.605164
6,8,0.977173,1.07529,0.971222,0.605011
6,9,0.985413,1.06613,0.976868,0.610962
7,0,0.977783,1.07452,0.9729,0.605621
7,1,0.977478,1.07513,0.973053,0.606079
7,2,0.977478,1.07483,0.9729,0.605164
7,3,0.97702,1.07422,0.971985,0.604706
7,4,0.979919,1.07819,0.976868,0.610046
7,5,0.976715,1.07361,0.974121,0.604706
7,6,0.976257,1.07346,0.974121,0.605011
7,7,0.98175,1.07666,0.978546,0.609894
7,8,0.976715,1.07437,0.9758,0.605164
7,9,0.977173,1.07391,0.976715,0.605927
8,0,0.976562,1.07422,0.976562,0.605316
8,1,0.979919,1.07834,0.979767,0.611877
8,2,0.976562,1.07346,0.978241,0.605469
8,3,0.975647,1.07285,0.977631,0.605011
8,4,0.975494,1.073,0.977478,0.604401
8,5,0.975342,1.073,0.977325,0.605316
8,6,0.974731,1.07224,0.979004,0.604858
8,7,0.974884,1.07239,0.979156,0.605011
8,8,0.9758,1.07254,0.979309,0.605469
