Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,0.708313,0.586395,0.830078,0.467377
1,1,0.708771,0.5867,0.830078,0.467834
1,2,0.708008,0.586395,0.828857,0.467987
1,3,0.707703,0.58548,0.829315,0.467529
1,4,0.70755,0.585632,0.828857,0.467224
1,5,0.707397,0.586548,0.828857,0.466919
1,6,0.707855,0.58609,0.828705,0.467377
1,7,0.707703,0.58609,0.828705,0.467529
1,8,0.708008,0.586853,0.82901,0.467682
1,9,0.70816,0.587311,0.829468,0.467072
2,0,0.708008,0.587311,0.829468,0.467377
2,1,0.70816,0.587769,0.82962,0.467834
2,2,0.70816,0.587616,0.829315,0.467834
2,3,0.708466,0.586243,0.828552,0.467529
2,4,0.707703,0.586395,0.829468,0.466919
2,5,0.707092,0.587006,0.829163,0.466919
2,6,0.70755,0.5867,0.829163,0.466156
2,7,0.70755,0.587006,0.828705,0.466766
2,8,0.70816,0.587006,0.82901,0.467377
2,9,0.708618,0.586853,0.829315,0.46814
3,0,0.708466,0.587311,0.829773,0.467987
3,1,0.708313,0.586853,0.82962,0.467987
3,2,0.707703,0.586853,0.829163,0.467834
3,3,0.707397,0.586395,0.828552,0.467682
3,4,0.70755,0.5867,0.828857,0.467377
3,5,0.707397,0.586395,0.828857,0.467377
3,6,0.707092,0.5867,0.8284,0.467224
3,7,0.707703,0.585938,0.828552,0.466919
3,8,0.70816,0.5867,0.829163,0.467529
3,9,0.710297,0.592041,0.834198,0.471344
4,0,0.70816,0.588074,0.829926,0.467224
4,1,0.708466,0.587616,0.829468,0.467834
4,2,0.70816,0.587311,0.828857,0.467682
4,3,0.70755,0.5867,0.828857,0.466919
4,4,0.707855,0.586548,0.828705,0.466919
4,5,0.707703,0.5867,0.828552,0.467224
4,6,0.707703,0.5867,0.8284,0.467072
4,7,0.707703,0.586243,0.828552,0.467377
4,8,0.708313,0.586853,0.82901,0.467987
4,9,0.710602,0.592957,0.834351,0.471954
5,0,0.708313,0.587769,0.829163,0.467682
5,1,0.708008,0.587616,0.828705,0.467224
5,2,0.71167,0.592499,0.83252,0.471344
5,3,0.707855,0.586548,0.828552,0.467377
5,4,0.707397,0.587158,0.8284,0.467224
5,5,0.71106,0.592346,0.833588,0.469513
5,6,0.708008,0.585938,0.828094,0.467072
5,7,0.70755,0.586548,0.8284,0.467377
5,8,0.708313,0.587463,0.828552,0.467987
5,9,0.70816,0.587463,0.82901,0.467682
6,0,0.707855,0.588074,0.828552,0.467987
6,1,0.711823,0.592651,0.831757,0.472717
6,2,0.708313,0.587769,0.828552,0.467834
6,3,0.711823,0.591736,0.831451,0.470581
6,4,0.70755,0.585938,0.827942,0.467529
6,5,0.707855,0.586243,0.827942,0.466766
6,6,0.70755,0.586548,0.827484,0.466919
6,7,0.707397,0.586395,0.827637,0.467377
6,8,0.707855,0.586853,0.827942,0.467834
6,9,0.708008,0.587463,0.828247,0.46814
7,0,0.708618,0.586853,0.8284,0.46814
7,1,0.708618,0.587311,0.827942,0.46814
7,2,0.708008,0.587158,0.827942,0.467834
7,3,0.707703,0.586243,0.827484,0.467377
7,4,0.707703,0.586395,0.827789,0.467224
7,5,0.707703,0.585938,0.827026,0.467529
7,6,0.707703,0.586548,0.827026,0.467529
7,7,0.707703,0.586395,0.826721,0.467072
7,8,0.70816,0.587006,0.827637,0.467529
7,9,0.708771,0.587463,0.8284,0.467834
8,0,0.708923,0.587463,0.827789,0.467834
8,1,0.708771,0.587158,0.827789,0.467987
8,2,0.708771,0.587158,0.827484,0.468292
8,3,0.70816,0.586395,0.827179,0.467377
8,4,0.708008,0.585938,0.826721,0.467834
8,5,0.708466,0.586395,0.827026,0.467224
8,6,0.708008,0.585938,0.826721,0.467834
8,7,0.708008,0.585938,0.826721,0.467529
8,8,0.708771,0.586548,0.827484,0.467987
8,9,0.708466,0.587158,0.827789,0.467682
9,0,0.708771,0.587463,0.827637,0.467987
9,1,0.709381,0.587463,0.827179,0.467834
9,2,0.708771,0.586548,0.826416,0.46814
9,3,0.708466,0.585938,0.826263,0.467377
9,4,0.707855,0.585785,0.826416,0.467224
9,5,0.708008,0.585938,0.826569,0.467224
9,6,0.708466,0.58609,0.826569,0.466919
9,7,0.707855,0.585938,0.826416,0.467377
9,8,0.711517,0.591125,0.831604,0.471954
9,9,0.708771,0.586548,0.827942,0.467377
10,0,0.709076,0.587463,0.827484,0.467834
10,1,0.708771,0.587311,0.827332,0.467529
10,2,0.708618,0.587769,0.827332,0.467072
10,3,0.708008,0.586395,0.827026,0.466919
10,4,0.708008,0.585632,0.826263,0.467377
10,5,0.708008,0.586243,0.826416,0.467072
10,6,0.708313,0.585785,0.826874,0.467377
10,7,0.708313,0.585632,0.826569,0.466766
10,8,0.708771,0.585938,0.827026,0.467072
10,9,0.708618,0.5867,0.827179,0.467834
11,0,0.708466,0.58609,0.827026,0.46814
11,1,0.708618,0.586548,0.827179,0.467529
11,2,0.708771,0.585938,0.826721,0.467834
11,3,0.707855,0.585785,0.826569,0.467072
11,4,0.707703,0.585632,0.826874,0.467377
11,5,0.707855,0.585632,0.826416,0.466919
11,6,0.707855,0.584717,0.827179,0.467072
11,7,0.707855,0.585175,0.826569,0.467072
11,8,0.708313,0.58609,0.827179,0.467682
11,9,0.708313,0.585938,0.827179,0.467682
12,0,0.708771,0.587158,0.827484,0.467834
12,1,0.708313,0.586548,0.827179,0.467682
12,2,0.708618,0.586395,0.826721,0.467834
12,3,0.707703,0.585938,0.826721,0.467072
12,4,0.708618,0.585785,0.826721,0.467834
12,5,0.708008,0.585175,0.826721,0.466919
12,6,0.707397,0.58548,0.826263,0.467224
12,7,0.70755,0.585175,0.826416,0.466919
12,8,0.707703,0.592804,0.829926,0.465851
12,9,0.707703,0.585327,0.827332,0.467987
13,0,0.708466,0.585632,0.827332,0.467377
13,1,0.708771,0.585327,0.827332,0.467834
13,2,0.711517,0.589142,0.829926,0.471954
13,3,0.70755,0.584869,0.826111,0.467072
13,4,0.707855,0.585022,0.826569,0.467072
13,5,0.70755,0.584564,0.826416,0.467072
13,6,0.710602,0.589142,0.830231,0.472717
13,7,0.708008,0.584869,0.826416,0.466614
13,8,0.708313,0.585175,0.827179,0.467834
13,9,0.709076,0.585022,0.827332,0.467834
14,0,0.713196,0.590057,0.831909,0.472565
14,1,0.709381,0.584869,0.826874,0.46814
14,2,0.70755,0.584869,0.827179,0.467682
14,3,0.708008,0.584412,0.826416,0.466919
14,4,0.707092,0.584106,0.826874,0.467072
14,5,0.70816,0.584564,0.826263,0.466766
14,6,0.707703,0.584869,0.826111,0.466766
14,7,0.70816,0.584564,0.826569,0.467072
14,8,0.708466,0.584564,0.827179,0.467682
14,9,0.708618,0.58548,0.827179,0.467682
15,0,0.708771,0.585022,0.827179,0.467682
