Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,1.31088,0.882721,1.0759,1.4563
1,1,1.31104,0.883026,1.0762,1.45538
1,2,1.31119,0.882874,1.07605,1.45569
1,3,1.31012,0.881958,1.07544,1.45493
1,4,1.30951,0.8815,1.07544,1.45538
1,5,1.31042,0.881958,1.07498,1.45477
1,6,1.31012,0.882416,1.07498,1.45523
1,7,1.30966,0.881653,1.07544,1.45493
1,8,1.31027,0.882111,1.0762,1.45538
1,9,1.31058,0.882874,1.0762,1.45569
2,0,1.31073,0.882721,1.07605,1.45599
2,1,1.31088,0.882721,1.07574,1.45554
2,2,1.31241,0.881958,1.07681,1.4566
2,3,1.31012,0.881958,1.07498,1.45462
2,4,1.31027,0.881805,1.07498,1.45508
2,5,1.31012,0.8815,1.07483,1.45493
2,6,1.30997,0.882263,1.07483,1.45477
2,7,1.30905,0.881653,1.07529,1.45416
2,8,1.30951,0.882263,1.07544,1.45554
2,9,1.31348,0.886536,1.0788,1.45874
3,0,1.30936,0.882416,1.0759,1.45569
3,1,1.30936,0.882874,1.0759,1.45554
3,2,1.31012,0.881958,1.07574,1.45615
3,3,1.30905,0.881805,1.07559,1.45477
3,4,1.30875,0.881653,1.07529,1.45508
3,5,1.3092,0.88089,1.07422,1.45447
3,6,1.31378,0.884705,1.07895,1.45752
3,7,1.30936,0.880737,1.07422,1.45462
3,8,1.30966,0.881195,1.07513,1.45523
3,9,1.31073,0.881348,1.07529,1.45538
4,0,1.31424,0.885162,1.0791,1.46027
4,1,1.31104,0.882263,1.07529,1.45477
4,2,1.31088,0.881653,1.07559,1.45538
4,3,1.31012,0.881653,1.07483,1.45477
4,4,1.315,0.884399,1.0788,1.45844
4,5,1.30981,0.8815,1.07513,1.45432
4,6,1.31027,0.88089,1.07544,1.45493
4,7,1.31012,0.881042,1.07559,1.45447
4,8,1.31485,0.885162,1.08032,1.45905
4,9,1.31134,0.881805,1.0762,1.45584
5,0,1.31088,0.881805,1.07635,1.45523
5,1,1.31119,0.881653,1.0762,1.45554
5,2,1.31058,0.886383,1.07742,1.45737
5,3,1.31042,0.881195,1.07513,1.45447
5,4,1.31012,0.880127,1.07498,1.45462
5,5,1.31027,0.880737,1.07544,1.45432
5,6,1.31058,0.880585,1.07544,1.45477
5,7,1.30936,0.880432,1.07513,1.45416
5,8,1.31042,0.880737,1.07513,1.45432
5,9,1.31058,0.880432,1.07574,1.45538
6,0,1.31027,0.88089,1.07529,1.45538
6,1,1.31042,0.881348,1.07544,1.45493
6,2,1.31042,0.881042,1.07544,1.45462
6,3,1.30966,0.88028,1.07452,1.45477
6,4,1.30981,0.88028,1.07452,1.45416
6,5,1.31027,0.880127,1.07559,1.45508
6,6,1.30936,0.88028,1.07407,1.45416
6,7,1.3089,0.880432,1.07422,1.45416
6,8,1.30997,0.881042,1.07498,1.45447
6,9,1.30997,0.88089,1.07483,1.45508
7,0,1.31454,0.880585,1.07498,1.45554
7,1,1.30966,0.880585,1.07498,1.45462
7,2,1.30981,0.880432,1.07468,1.45447
7,3,1.30875,0.879669,1.07376,1.45416
7,4,1.30844,0.879822,1.07391,1.4537
7,5,1.30859,0.879364,1.07376,1.4534
7,6,1.30814,0.879517,1.07422,1.45355
7,7,1.30783,0.879211,1.07407,1.45355
7,8,1.30859,0.879822,1.07437,1.45386
7,9,1.30875,0.879974,1.07498,1.45462
8,0,1.30859,0.879822,1.07483,1.45462
8,1,1.30844,0.880127,1.07376,1.45432
8,2,1.30859,0.88028,1.07452,1.45462
8,3,1.31088,0.882874,1.07864,1.45828
8,4,1.30707,0.879059,1.07391,1.4534
8,5,1.30753,0.879211,1.0733,1.4537
8,6,1.30783,0.879822,1.07376,1.4534
8,7,1.30737,0.879517,1.07376,1.45325
8,8,1.30768,0.879669,1.07407,1.45416
8,9,1.3118,0.883942,1.07941,1.45782
9,0,1.30829,0.879822,1.07468,1.45401
9,1,1.30844,0.879974,1.07483,1.4537
9,2,1.30844,0.880127,1.07452,1.45401
9,3,1.30783,0.879211,1.07376,1.4534
9,4,1.30753,0.879059,1.07376,1.45355
9,5,1.30753,0.879364,1.07376,1.4534
9,6,1.30722,0.879211,1.0733,1.4537
9,7,1.30753,0.878601,1.07376,1.45294
9,8,1.30768,0.879059,1.07422,1.45325
9,9,1.30814,0.879211,1.07498,1.4537
10,0,1.30783,0.879059,1.07422,1.45309
10,1,1.31241,0.862579,1.07208,1.45752
10,2,1.30737,0.879364,1.07391,1.45294
10,3,1.30692,0.878296,1.0733,1.45203
10,4,1.30661,0.878601,1.07361,1.45172
10,5,1.31058,0.883789,1.07803,1.4563
10,6,1.30737,0.877686,1.0733,1.45157
10,7,1.30722,0.877991,1.0733,1.45126
10,8,1.30783,0.878601,1.07452,1.45187
10,9,1.30783,0.878296,1.07437,1.45218
11,0,1.3092,0.879211,1.07513,1.45264
11,1,1.30844,0.879364,1.07452,1.45157
11,2,1.30844,0.878601,1.07437,1.45157
11,3,1.30753,0.878143,1.07346,1.45126
11,4,1.30768,0.878448,1.07376,1.45096
11,5,1.30768,0.878143,1.07376,1.45126
11,6,1.30783,0.878143,1.07361,1.45142
11,7,1.30783,0.878296,1.07407,1.45035
11,8,1.30814,0.878906,1.07452,1.45111
11,9,1.31104,0.883484,1.07864,1.45462
12,0,1.30875,0.87738,1.07346,1.44958
12,1,1.3089,0.877686,1.0733,1.44989
12,2,1.30112,0.883026,1.07773,1.4502
12,3,1.30814,0.877533,1.07361,1.44958
12,4,1.30829,0.877686,1.07376,1.44928
12,5,1.30829,0.877686,1.07361,1.44943
12,6,1.30829,0.877991,1.07376,1.44882
12,7,1.30768,0.877838,1.07376,1.44867
12,8,1.30829,0.878296,1.07407,1.44882
12,9,1.30829,0.878448,1.07437,1.44928
13,0,1.3092,0.878296,1.07407,1.44897
13,1,1.3089,0.878143,1.07422,1.44928
13,2,1.3089,0.878143,1.07422,1.44943
13,3,1.30814,0.877686,1.07315,1.44867
13,4,1.30783,0.877686,1.07315,1.44836
13,5,1.30814,0.878143,1.07285,1.44852
13,6,1.30768,0.877991,1.0733,1.44882
13,7,1.30783,0.877991,1.07346,1.44852
13,8,1.30859,0.878448,1.07391,1.44867
13,9,1.30814,0.878906,1.07407,1.44852
14,0,1.30905,0.878906,1.07391,1.44867
14,1,1.30844,0.878601,1.07422,1.44943
14,2,1.30814,0.878601,1.07376,1.44852
14,3,1.30783,0.877991,1.07254,1.4476
14,4,1.30829,0.877838,1.07269,1.44745
14,5,1.30814,0.877228,1.07285,1.44775
14,6,1.30783,0.877686,1.073,1.4473
14,7,1.30814,0.877228,1.07269,1.4476
14,8,1.30875,0.877228,1.073,1.44806
14,9,1.30859,0.878296,1.07391,1.44836
15,0,1.30844,0.878296,1.07346,1.44836
15,1,1.30875,0.877991,1.07254,1.44821
15,2,1.30829,0.879364,1.0733,1.44821
15,3,1.30753,0.877838,1.07224,1.4473
15,4,1.30783,0.878143,1.07224,1.44669
15,5,1.30722,0.877991,1.07285,1.44684
15,6,1.30768,0.877686,1.07269,1.44684
15,7,1.30722,0.877838,1.07269,1.44684
15,8,1.30798,0.877991,1.07315,1.44745
15,9,1.30783,0.877991,1.07346,1.44745
16,0,1.30768,0.877838,1.0733,1.4473
16,1,1.30768,0.877838,1.07361,1.44684
16,2,1.30737,0.877991,1.07315,1.44699
16,3,1.30646,0.877991,1.07269,1.44623
16,4,1.30661,0.877075,1.07269,1.44623
16,5,1.30676,0.877991,1.07269,1.44623
16,6,1.30646,0.878296,1.073,1.44623
16,7,1.30661,0.877075,1.07208,1.44608
16,8,1.30707,0.877838,1.07315,1.44653
16,9,1.30737,0.877686,1.07346,1.4473
17,0,1.30768,0.87738,1.07376,1.44684
17,1,1.30707,0.87677,1.073,1.44653
17,2,1.30692,0.876923,1.073,1.44623
17,3,1.3063,0.876312,1.07254,1.44562
17,4,1.30676,0.876465,1.07239,1.44608
17,5,1.306,0.876312,1.07239,1.44608
17,6,1.30585,0.876007,1.073,1.44608
17,7,1.306,0.876007,1.07269,1.44592
17,8,1.30722,0.876923,1.07376,1.44653
17,9,1.30661,0.876007,1.07346,1.44608
18,0,1.30646,0.87616,1.07315,1.44638
18,1,1.30676,0.87616,1.07315,1.44638
18,2,1.30737,0.876312,1.07346,1.44653
18,3,1.306,0.874939,1.07254,1.44562
18,4,1.30615,0.874786,1.07239,1.44592
18,5,1.3063,0.874634,1.07239,1.44577
18,6,1.3063,0.874786,1.07208,1.44547
18,7,1.30585,0.874939,1.07254,1.44562
18,8,1.30646,0.875244,1.07285,1.44608
18,9,1.30646,0.874481,1.073,1.44638
19,0,1.30646,0.874634,1.07285,1.44547
19,1,1.30676,0.874939,1.07285,1.44592
19,2,1.30646,0.874786,1.07269,1.44562
19,3,1.30615,0.873871,1.07162,1.44562
19,4,1.30569,0.873566,1.07147,1.44547
19,5,1.30646,0.873108,1.07162,1.44547
19,6,1.30585,0.872955,1.07193,1.44516
19,7,1.3063,0.873108,1.07178,1.44501
19,8,1.30936,0.877686,1.07498,1.44913
19,9,1.30768,0.873718,1.07285,1.44592
20,0,1.30676,0.873566,1.07239,1.44638
20,1,1.30722,0.873871,1.07285,1.44577
20,2,1.3118,0.877228,1.07513,1.44928
20,3,1.30692,0.87265,1.07193,1.44562
20,4,1.30661,0.873108,1.07132,1.44516
20,5,1.30692,0.87265,1.07162,1.44531
20,6,1.31058,0.875549,1.07574,1.44867
20,7,1.30692,0.872498,1.07193,1.44501
20,8,1.30722,0.873566,1.07224,1.44516
20,9,1.30753,0.873718,1.07285,1.44623
21,0,1.30783,0.873566,1.073,1.44577
21,1,1.30783,0.873566,1.073,1.44577
21,2,1.30753,0.87265,1.07254,1.44592
21,3,1.30692,0.87265,1.07193,1.44501
21,4,1.30707,0.873108,1.07208,1.44516
21,5,1.30692,0.873108,1.07208,1.44577
21,6,1.30753,0.873413,1.07132,1.44501
