Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,1.20239,0.79422,0.949097,1.41174
1,1,1.20209,0.79422,0.948792,1.41144
1,2,1.20193,0.79422,0.948639,1.41159
1,3,1.20132,0.79361,0.947876,1.41068
1,4,1.20087,0.793152,0.947723,1.41129
1,5,1.20087,0.792542,0.947571,1.41174
1,6,1.20056,0.792999,0.948486,1.41144
1,7,1.20071,0.792999,0.947876,1.41144
1,8,1.20087,0.794678,0.949249,1.41266
1,9,1.20132,0.793457,0.948486,1.4122
2,0,1.20132,0.793152,0.948944,1.4122
2,1,1.20102,0.792694,0.948639,1.41174
2,2,1.20087,0.793304,0.948334,1.41144
2,3,1.20026,0.792236,0.948029,1.41129
2,4,1.2001,0.792389,0.947723,1.41144
2,5,1.19949,0.792084,0.947571,1.41159
2,6,1.19934,0.791626,0.947113,1.41159
2,7,1.19919,0.792084,0.946808,1.41174
2,8,1.2001,0.792542,0.948029,1.41235
2,9,1.19965,0.792847,0.947876,1.41235
3,0,1.1998,0.793304,0.948181,1.41251
3,1,1.19965,0.792847,0.947876,1.41251
3,2,1.19995,0.792694,0.947876,1.41251
3,3,1.1998,0.792236,0.947418,1.4119
3,4,1.2027,0.796509,0.950775,1.41541
3,5,1.19934,0.791931,0.947418,1.41174
3,6,1.19904,0.791779,0.947266,1.41159
3,7,1.20316,0.796204,0.950775,1.41586
3,8,1.19919,0.792236,0.947723,1.41296
3,9,1.19934,0.792542,0.947876,1.41312
4,0,1.1998,0.792847,0.948334,1.41312
4,1,1.19919,0.792389,0.947876,1.41312
4,2,1.19904,0.792236,0.948029,1.41281
4,3,1.2027,0.796204,0.951538,1.41434
4,4,1.19843,0.791321,0.947723,1.41266
4,5,1.19858,0.791321,0.947723,1.41312
4,6,1.19827,0.791168,0.947876,1.41312
4,7,1.19797,0.791321,0.948181,1.41342
4,8,1.19843,0.792084,0.948486,1.41418
4,9,1.19858,0.792999,0.948944,1.41464
5,0,1.19888,0.791168,0.949249,1.4151
5,1,1.19904,0.791473,0.948334,1.41495
5,2,1.19858,0.791779,0.948639,1.41449
5,3,1.19827,0.79071,0.948181,1.41388
5,4,1.1969,0.79071,0.947571,1.41495
5,5,1.19675,0.791321,0.947876,1.41479
5,6,1.19675,0.790405,0.947876,1.41464
5,7,1.1969,0.790253,0.947876,1.41449
5,8,1.19751,0.791168,0.948029,1.41556
5,9,1.19736,0.790863,0.948639,1.41586
6,0,1.19736,0.791321,0.948486,1.41586
6,1,1.19736,0.791168,0.948334,1.41556
6,2,1.19751,0.791168,0.948181,1.41556
6,3,1.19614,0.789948,0.947418,1.41556
6,4,1.19629,0.789948,0.948181,1.41525
6,5,1.19614,0.790253,0.947876,1.41541
6,6,1.19644,0.790863,0.947876,1.41571
6,7,1.19598,0.7901,0.947571,1.41556
6,8,1.19644,0.790558,0.948029,1.41571
6,9,1.19629,0.79071,0.947876,1.41602
7,0,1.19644,0.79071,0.948181,1.41586
7,1,1.19675,0.790558,0.948029,1.41693
7,2,1.19644,0.790558,0.947418,1.41678
7,3,1.19598,0.7901,0.947418,1.41632
7,4,1.19614,0.78949,0.94696,1.41632
7,5,1.19614,0.789948,0.947266,1.41647
7,6,1.19568,0.789948,0.947113,1.41663
7,7,1.19614,0.789948,0.947266,1.41678
7,8,1.1969,0.791016,0.948029,1.41724
7,9,1.19644,0.791168,0.947723,1.418
8,0,1.19644,0.791168,0.947723,1.41739
8,1,1.19583,0.791168,0.947571,1.41769
8,2,1.19583,0.791168,0.948029,1.41754
8,3,1.19553,0.789948,0.94696,1.41785
8,4,1.19522,0.790405,0.947113,1.41739
8,5,1.19522,0.789337,0.94696,1.41769
8,6,1.19553,0.790405,0.94696,1.41769
8,7,1.19568,0.789795,0.946503,1.41861
8,8,1.19644,0.790253,0.947571,1.41876
8,9,1.19644,0.79071,0.947113,1.41922
9,0,1.19995,0.79361,0.950317,1.42197
9,1,1.19583,0.791168,0.947113,1.41998
9,2,1.19583,0.790863,0.947418,1.41968
9,3,1.19522,0.790253,0.94696,1.41937
9,4,1.19537,0.790253,0.94635,1.41907
9,5,1.19537,0.7901,0.946503,1.41953
9,6,1.19537,0.789795,0.947113,1.42029
9,7,1.19507,0.789948,0.946045,1.42075
9,8,1.19949,0.79422,0.950775,1.42365
9,9,1.19598,0.790863,0.946808,1.42197
10,0,1.19568,0.790863,0.947266,1.42242
10,1,1.19629,0.79071,0.94696,1.42242
10,2,1.19614,0.79071,0.946808,1.42197
10,3,1.20041,0.79422,0.950623,1.42639
10,4,1.19492,0.789795,0.946808,1.42303
10,5,1.19537,0.789948,0.946503,1.42258
10,6,1.19476,0.789795,0.946503,1.42303
10,7,1.19476,0.790405,0.946655,1.42395
10,8,1.19537,0.790863,0.947113,1.42456
10,9,1.19553,0.791016,0.947418,1.42456
11,0,1.19949,0.795288,0.949554,1.42776
11,1,1.19583,0.791931,0.947571,1.42883
11,2,1.19583,0.791931,0.948029,1.42853
11,3,1.19476,0.791321,0.947266,1.42792
11,4,1.19461,0.79071,0.947266,1.42746
11,5,1.19461,0.790863,0.948334,1.42914
11,6,1.19476,0.791168,0.948334,1.42899
11,7,1.19476,0.791626,0.948792,1.42899
11,8,1.19522,0.791473,0.948486,1.42929
11,9,1.19553,0.792389,0.949707,1.4299
