Devices
1000
,,Generic Analog #1 - Electric Potential,,,,
Frame,Sub Frame,1,2,3,4
,,V,V,V,V
1,0,1.28464,0.951843,1.02127,1.53412
1,1,1.2886,0.956116,1.02509,1.54022
1,2,1.28342,0.953064,1.02249,1.53625
1,3,1.28342,0.952911,1.02219,1.53687
1,4,1.28357,0.952911,1.02203,1.53702
1,5,1.28281,0.953064,1.02264,1.53687
1,6,1.28311,0.952759,1.02203,1.53671
1,7,1.28326,0.953064,1.02219,1.53687
1,8,1.2883,0.935364,1.02142,1.54175
1,9,1.28632,0.956573,1.02768,1.53992
2,0,1.28326,0.953979,1.02585,1.53915
2,1,1.28342,0.953674,1.0257,1.53931
2,2,1.28357,0.953674,1.0257,1.53961
2,3,1.28494,0.956116,1.02936,1.54099
2,4,1.28281,0.952606,1.02539,1.54373
2,5,1.28265,0.952759,1.02478,1.54404
2,6,1.2825,0.952759,1.02539,1.54388
2,7,1.3031,0.948486,1.02631,1.54678
2,8,1.28265,0.952759,1.02585,1.54541
2,9,1.28342,0.953522,1.026,1.54495
3,0,1.28357,0.953522,1.02661,1.5448
3,1,1.28326,0.953217,1.02615,1.54495
3,2,1.28342,0.953522,1.026,1.54495
3,3,1.2825,0.952759,1.0257,1.54404
3,4,1.28311,0.952454,1.0257,1.54449
3,5,1.2822,0.952148,1.02554,1.54449
3,6,1.2822,0.952148,1.02478,1.54434
3,7,1.2822,0.951996,1.02539,1.54465
3,8,1.28311,0.952454,1.02554,1.54724
3,9,1.28342,0.952759,1.02615,1.54755
4,0,1.28311,0.952606,1.02615,1.54739
4,1,1.28326,0.952454,1.0257,1.54434
4,2,1.28372,0.952759,1.02646,1.54434
4,3,1.28311,0.951996,1.02524,1.54404
4,4,1.28235,0.951843,1.02509,1.54373
4,5,1.2822,0.951538,1.02539,1.54434
4,6,1.28189,0.951385,1.02554,1.54388
4,7,1.28174,0.951691,1.02524,1.54404
4,8,1.28677,0.956268,1.02905,1.54816
4,9,1.28311,0.952606,1.02631,1.5451
5,0,1.2825,0.952911,1.02631,1.54495
5,1,1.2822,0.951996,1.0257,1.54495
5,2,1.28265,0.951996,1.026,1.5451
5,3,1.2822,0.952148,1.0257,1.5451
5,4,1.28235,0.951691,1.02539,1.5448
5,5,1.28189,0.951538,1.02524,1.54449
5,6,1.28159,0.951538,1.02554,1.54419
5,7,1.28174,0.951843,1.02509,1.54434
5,8,1.28235,0.952148,1.02661,1.5448
5,9,1.28204,0.952454,1.02646,1.5448
6,0,1.28265,0.952301,1.02692,1.54495
6,1,1.2825,0.952606,1.02661,1.54556
6,2,1.28281,0.952301,1.02661,1.54526
6,3,1.28189,0.951691,1.02615,1.54465
6,4,1.28174,0.950928,1.02646,1.54465
6,5,1.28174,0.951843,1.02646,1.54449
6,6,1.28189,0.951385,1.02661,1.54449
6,7,1.28189,0.951691,1.02692,1.54465
6,8,1.28204,0.951996,1.02768,1.54541
6,9,1.2822,0.952606,1.02768,1.54572
7,0,1.28235,0.952301,1.02844,1.54572
7,1,1.2825,0.952301,1.02753,1.54556
7,2,1.28769,0.954285,1.02768,1.54587
7,3,1.28128,0.951691,1.02783,1.54495
7,4,1.28113,0.952148,1.02798,1.54541
7,5,1.28143,0.951996,1.02844,1.54526
7,6,1.28159,0.951538,1.02798,1.54587
7,7,1.28098,0.951233,1.02875,1.54541
7,8,1.28204,0.951843,1.02966,1.54633
7,9,1.28235,0.952454,1.02936,1.54663
8,0,1.28189,0.951996,1.02936,1.54663
8,1,1.28143,0.951843,1.02951,1.54694
8,2,1.2822,0.951843,1.02951,1.54648
8,3,1.28143,0.951996,1.02875,1.5451
8,4,1.28174,0.951691,1.02844,1.54617
8,5,1.28143,0.951233,1.03043,1.54602
8,6,1.2822,0.951691,1.03134,1.54633
8,7,1.28143,0.951385,1.03119,1.54648
8,8,1.28143,0.951843,1.0318,1.54724
8,9,1.2822,0.951233,1.03409,1.54831
9,0,1.28235,0.951233,1.03317,1.54816
9,1,1.28204,0.951538,1.03333,1.548
9,2,1.27762,0.957031,1.03775,1.5477
9,3,1.28174,0.950623,1.0347,1.54846
9,4,1.28143,0.95047,1.03561,1.54755
9,5,1.28174,0.950012,1.035,1.5477
9,6,1.28113,0.950012,1.035,1.54755
9,7,1.28128,0.950623,1.035,1.5477
9,8,1.28708,0.953827,1.03912,1.55136
9,9,1.28189,0.95108,1.03729,1.54831
10,0,1.28204,0.950775,1.03745,1.54846
10,1,1.26556,0.953827,1.0437,1.5506
10,2,1.28174,0.949707,1.03821,1.54861
10,3,1.28128,0.949097,1.03775,1.54785
10,4,1.28098,0.949097,1.03775,1.54816
10,5,1.28113,0.949249,1.03775,1.54846
10,6,1.28143,0.948792,1.0379,1.5477
10,7,1.28143,0.949097,1.03821,1.54785
10,8,1.28189,0.949554,1.03806,1.54831
10,9,1.28189,0.949554,1.03851,1.54861
11,0,1.2822,0.949707,1.03851,1.54877
11,1,1.28174,0.94986,1.03851,1.54861
11,2,1.28189,0.949402,1.03882,1.54785
11,3,1.28113,0.949249,1.03851,1.54816
11,4,1.28113,0.948792,1.0379,1.5477
11,5,1.28128,0.948792,1.03836,1.54602
11,6,1.28159,0.948944,1.03806,1.54587
11,7,1.28128,0.948944,1.03867,1.54602
11,8,1.28143,0.949249,1.03912,1.54785
11,9,1.2822,0.948792,1.03867,1.54831
12,0,1.2822,0.949097,1.03851,1.5477
12,1,1.28189,0.949097,1.03836,1.548
12,2,1.28632,0.952759,1.04401,1.53564
12,3,1.28372,0.951996,1.0408,1.5509
12,4,1.28128,0.947571,1.03592,1.54663
12,5,1.2854,0.951691,1.0405,1.55136
12,6,1.28204,0.947723,1.03607,1.5477
12,7,1.28189,0.947571,1.03607,1.54785
12,8,1.28204,0.948486,1.03653,1.54846
12,9,1.28281,0.948486,1.03668,1.54831
13,0,1.28311,0.947266,1.03531,1.54419
13,1,1.28433,0.947113,1.035,1.54449
13,2,1.28403,0.947266,1.03516,1.54419
13,3,1.28662,0.951385,1.03912,1.54831
13,4,1.28311,0.94635,1.03409,1.54327
13,5,1.28296,0.946198,1.0347,1.54358
13,6,1.28311,0.946655,1.0347,1.54343
13,7,1.28311,0.946655,1.0347,1.54358
13,8,1.28342,0.947113,1.03485,1.54373
13,9,1.28403,0.947266,1.03546,1.54419
14,0,1.28387,0.947571,1.03485,1.54434
14,1,1.28372,0.947418,1.03531,1.54404
14,2,1.28342,0.94696,1.03485,1.54404
14,3,1.28311,0.946655,1.03455,1.54343
14,4,1.28281,0.945587,1.03424,1.54297
14,5,1.28296,0.945435,1.0347,1.54312
14,6,1.28296,0.946045,1.0347,1.54327
14,7,1.28296,0.945587,1.03394,1.54343
14,8,1.28357,0.945435,1.0347,1.54373
14,9,1.28372,0.945435,1.03516,1.54434
15,0,1.28372,0.947571,1.03546,1.54495
15,1,1.28311,0.94696,1.03577,1.54495
15,2,1.28311,0.946045,1.0347,1.54388
15,3,1.2822,0.945587,1.03348,1.54388
15,4,1.28296,0.945129,1.03348,1.54327
15,5,1.2825,0.944824,1.03378,1.54343
15,6,1.28281,0.945129,1.03378,1.54373
15,7,1.28281,0.944672,1.03378,1.54327
15,8,1.28342,0.944519,1.03439,1.54404
15,9,1.28342,0.945282,1.03439,1.54434
16,0,1.28372,0.944977,1.03455,1.54404
16,1,1.28357,0.944519,1.03439,1.54373
16,2,1.28296,0.944519,1.03409,1.54449
16,3,1.28265,0.943604,1.03333,1.54327
